country,gdp,population,cat,landarea,unemployment
Aruba,,103889,0,180,
Andorra,,70473,0,470,
Afghanistan,19331286549,32526562,0,652860,9.100000381
Angola,1.03E+11,25021974,0,1246700,6.800000191
Albania,11398392444,2889167,0,27400,16.10000038
Arab World,2.57E+12,392022276,0,13621413,11.51819713
United Arab Emirates,3.70E+11,9156963,2,83600,3.599999905
Argentina,5.83E+11,43416755,0,2736690,8.199999809
Armenia,10529182498,3017712,0,28470,17.10000038
American Samoa,,55538,0,200,
Antigua and Barbuda,1259259259,91818,0,440,
Australia,1.34E+12,23781169,1,7682300,6
Austria,3.77E+11,8611088,1,82523,5
Azerbaijan,53047140347,9651349,0,82663,5.199999809
Burundi,3097324740,11178921,0,25680,6.900000095
Belgium,4.55E+11,11285721,1,30280,8.5
Benin,8290986804,10879829,0,112760,1
Burkina Faso,10678201939,18105570,0,273600,3.099999905
Bangladesh,1.95E+11,160995642,0,130170,4.300000191
Bulgaria,50199117547,7177991,0,108560,11.60000038
Bahrain,31125851064,1377237,2,771,3.900000095
"Bahamas, The",8853519100,388019,0,10010,15.39999962
Bosnia and Herzegovina,16191716215,3810416,0,51200,27.89999962
Belarus,54608962635,9513000,0,202910,5.900000095
Belize,1752861128,359287,0,22810,11.5
Bermuda,,65235,0,50,
Bolivia,32997684515,10724705,0,1083300,2.700000048
Brazil,1.77E+12,207847528,0,8358140,6.800000191
Barbados,4385250000,284215,0,430,12
Brunei Darussalam,12930394938,423188,0,5270,3.799999952
Bhutan,2057947621,774830,0,38117,2.799999952
Botswana,14389717321,2262485,0,566730,18.20000076
Central African Rep.,1583776760,4900274,0,622980,7.400000095
Canada,1.55E+12,35851774,1,9093510,6.900000095
Central Europe and the Baltics,1.28E+12,103318638,0,1103976,9.063863362
Switzerland,6.71E+11,8286976,1,39516,4.5
Channel Islands,,163692,0,190,
Chile,2.41E+11,17948141,0,743532,6.400000095
China,1.10E+13,1371220000,0,9388211,4.699999809
Côte d'Ivoire,31759248868,22701556,0,318000,4
Cameroon,28415950981,23344179,0,472710,4.300000191
"Congo, Republic of",8553154506,4620330,0,341500,6.5
Colombia,2.92E+11,48228704,0,1109500,10.10000038
Comoros,565689764.5,788474,0,1861,6.5
Cabo Verde,1603239233,520502,0,4030,9.199999809
Costa Rica,54136834091,4807850,0,51060,8.300000191
Caribbean small states,66935278418,7048966,0,404850,10.40517882
Cuba,,11389562,0,104020,3.299999952
Curacao,,158040,0,444,
Cayman Islands,,59967,0,240,
Cyprus,19559942331,1165300,0,9240,15.60000038
Czech Rep.,1.85E+11,10551219,1,77210,6.199999809
Germany,3.36E+12,81413145,1,348900,5
Djibouti,1727000000,887861,0,23180,
Dominica,517218963,72680,0,750,
Denmark,2.95E+11,5676002,1,42262,6.599999905
Dominican Rep.,68102618092,10528391,0,48310,15
Algeria,1.67E+11,39666519,0,2381741,9.5
East Asia & Pacific (excluding high income),1.32E+13,2035129646,0,15913941,4.58378611
Early-demographic dividend,9.95E+12,3122703317,0,33107715,5.664037809
East Asia & Pacific,2.17E+13,2279186469,0,24387020.3,4.522146493
Europe & Central Asia (excluding high income),2.89E+12,411338238,0,22622066,7.61617233
Europe & Central Asia,2.01E+13,907944124,0,27439638,9.0076516
Ecuador,1.00E+11,16144363,0,248360,4.599999905
Egypt,3.31E+11,91508084,2,995450,13.19999981
Euro area,1.16E+13,339425073,0,2678181,11.52574587
Eritrea,2607739837,6333000,0,101000,7.199999809
Spain,1.20E+12,46418269,1,500210,24.70000076
Estonia,22459443274,1311998,1,42390,7.699999809
Ethiopia,61539711687,99390750,0,1000000,5.199999809
European Union,1.63E+13,509668361,0,4238213,10.20739971
Fragile and conflict affected situations,7.47E+11,485609230,0,14820928,7.89429467
Finland,2.32E+11,5482013,1,303890,8.600000381
Fiji,4425503075,892145,0,18270,7.900000095
France,2.42E+12,66808385,1,547557,9.899999619
Faroe Islands,,48199,0,1396,
"Micronesia, Fed. Sts.",314971100,104460,0,700,
Gabon,14262032471,1725292,0,257670,19.70000076
United Kingdom,2.86E+12,65138232,1,241930,6.300000191
Georgia,13965385802,3679000,0,69490,13.39999962
Ghana,37543361204,27409893,0,227540,2.400000095
Gibraltar,,32217,0,10,
Guinea,6699203543,12608590,0,245720,1.799999952
Gambia,938794719.4,1990924,0,10120,7
Guinea-Bissau,1056776883,1844325,0,28120,6.900000095
Equatorial Guinea,12202323684,845060,0,28050,7.900000095
Greece,1.95E+11,10823732,1,128900,26.29999924
Grenada,984074074.1,106825,0,340,
Greenland,,56114,0,410450,
Guatemala,63794152886,16342897,0,107160,2.900000095
Guam,,169885,0,540,
Guyana,3166029056,767085,0,196850,11.10000038
High income,4.74E+13,1187189841,0,35073136.7,7.369141628
"Hong Kong SAR, China",3.09E+11,7305700,0,1050,3.200000048
Honduras,20420967149,8075060,0,111890,3.900000095
Heavily indebted poor countries (HIPC),6.29E+11,721104105,0,19754791,6.596414013
Croatia,48732003674,4224404,0,55960,16.70000076
Haiti,8765329890,10711067,0,27560,6.800000191
Hungary,1.22E+11,9844686,1,90530,7.800000191
IBRD only,2.52E+13,4524078275,0,67941107,5.611517658
IDA & IBRD total,2.75E+13,6183634830,0,95716398,5.674471428
IDA total,2.32E+12,1659556555,0,27775291,5.872121214
IDA blend,1.22E+12,585760189,0,6824470,5.24927739
Indonesia,8.62E+11,257563815,0,1811570,6.199999809
IDA only,1.10E+12,1073796366,0,20950821,6.186070568
Isle of Man,,87780,0,570,
India,2.10E+12,1311050527,0,2973190,3.599999905
Not classified,,,0,,
Ireland,2.84E+11,4640703,1,68890,11.60000038
Iran (Islamic Rep. of),3.94E+11,79109272,2,1628760,12.80000019
Iraq,1.80E+11,36423395,2,434320,16.39999962
Iceland,16598494831,330823,1,100250,5
Israel,2.99E+11,8380400,2,21640,6.099999905
Italy,1.82E+12,60802085,1,294140,12.5
Jamaica,14262190323,2725941,0,10830,13.19999981
Jordan,37517410282,7594547,2,88780,11.10000038
Japan,4.38E+12,126958472,1,364560,3.700000048
Kazakhstan,1.84E+11,17544126,0,2699700,4.099999905
Kenya,63398041540,46050302,0,569140,9.199999809
Kyrgyz Rep.,6571853849,5957000,0,191800,8.100000381
Cambodia,18049954289,15577899,0,176520,0.400000006
Kiribati,160121929.2,112423,0,810,
St. Kitts and Nevis,876478555.6,55572,0,260,
"Korea, Rep.",1.38E+12,50617045,1,97480,3.5
Kosovo,6400687590,1797151,0,10887,
Kuwait,1.14E+11,3892115,2,17820,3
Latin America & Caribbean (excluding high income),4.85E+12,605364992,0,19093270,6.543979026
Lao PDR,12369080043,6802023,0,230800,1.399999976
Lebanon,47084703151,5850743,2,10230,6.400000095
Liberia,2053000000,4503438,0,96320,3.799999952
Libya,34699395524,6278438,0,1759540,19.20000076
St. Lucia,1431135704,184999,0,610,
Latin America & Caribbean,5.29E+12,632959079,0,20039364.4,6.577241937
Least developed countries: UN classification,9.34E+11,954218054,0,20166848,6.1263179
Low income,3.94E+11,638286288,0,13382221,5.983757189
Liechtenstein,,37531,0,160,
Sri Lanka,82316172384,20966000,0,62710,4.599999905
Lower middle income,5.86E+12,2927414098,0,21752930,5.2542687
Low & middle income,2.68E+13,6159443196,0,94660036,5.636121392
Lesotho,2278037786,2135022,0,30360,26.20000076
Late-demographic dividend,1.83E+13,2249154750,0,44530502,5.104457274
Lithuania,41170728956,2910199,0,62650,11.30000019
Luxembourg,57793612066,569676,1,2590,6.099999905
Latvia,27002832428,1978440,1,62180,10
"Macao SAR, China",46177532874,587606,0,30.3,1.5
St. Martin (French part),,31754,0,54.4,
Morocco,1.01E+11,34377511,0,446300,10.19999981
Monaco,,37731,0,2,
Moldova,6568288862,3554150,0,32870,3.400000095
Madagascar,9738652322,24235390,0,581800,3.599999905
Maldives,3435244659,409163,0,300,11.60000038
Middle East & North Africa,3.14E+12,424065257,0,11236232,11.26297194
Mexico,1.14E+12,127017224,1,1943950,4.900000095
Marshall Islands,179432573.8,52993,0,180,
Middle income,2.64E+13,5521156908,0,81277815,5.599287522
"Macedonia, FYR",10086021261,2078453,0,25220,27.89999962
Mali,12746688962,17599694,0,1220190,8.100000381
Malta,9746478873,431333,0,320,5.900000095
Myanmar,62600906116,53897154,0,653080,3.299999952
Middle East & North Africa (excluding high income),,362560941,0,8641281,12.88402006
Montenegro,3987061628,622388,0,13450,19.10000038
Mongolia,11741338841,2959134,0,1553560,4.800000191
Northern Mariana Islands,,55070,0,460,
Mozambique,14807075727,27977863,0,786380,22.60000038
Mauritania,5442297174,4067564,0,1030700,31
Mauritius,11681761261,1262605,0,2030,7.699999809
Malawi,6403820949,17215232,0,94280,7.5
Malaysia,2.96E+11,30331007,0,328550,2
North America,1.96E+13,357335829,0,18240980,6.276374507
Namibia,11491507356,2458830,0,823290,18.60000038
New Caledonia,,273000,0,18280,
Niger,7142951342,19899120,0,1266700,5.099999905
Nigeria,4.81E+11,182201962,0,910770,7.5
Nicaragua,12692562187,6082032,0,120340,5.300000191
Netherlands,7.50E+11,16936520,1,33690,6.900000095
Norway,3.87E+11,5195921,1,365245,3.400000095
Nepal,21194888048,28513700,0,143350,2.700000048
Nauru,100457157.6,10222,0,20,
New Zealand,1.74E+11,4595700,1,263310,5.599999905
OECD members,4.63E+13,1282975040,0,34403746,7.335096557
Oman,69830949285,4490541,2,309500,7.199999809
Other small states,3.68E+11,28650005,0,2030709,10.9936722
Pakistan,2.71E+11,188924874,0,770880,5.199999809
Panama,52132289747,3929141,0,74340,4.300000191
Peru,1.89E+11,31376670,0,1280000,4.199999809
Philippines,2.92E+11,100699395,0,298170,7.099999905
Palau,287400000,21291,0,460,
Papua New Guinea,16928680397,7619321,0,452860,2.5
Poland,4.77E+11,37999494,1,306190,9.199999809
Pre-demographic dividend,1.29E+12,850271023,0,20165531,7.784924748
Puerto Rico,,3474182,0,8870,14.30000019
"Korea, Dem. People’s Rep.",,25155317,0,120410,4.099999905
Portugal,1.99E+11,10348648,1,91605,14.19999981
Paraguay,27093938619,6639123,0,397300,4.5
Pacific island small states,8568336288,2351091,0,64200,
Post-demographic dividend,4.40E+13,1097737383,0,31464577.3,7.427818504
French Polynesia,,282764,0,3660,
Qatar,1.65E+11,2235355,2,11610,0.300000012
Romania,1.78E+11,19832389,0,230080,7
Russian Federation,1.33E+12,144096812,0,16376870,5.099999905
Rwanda,8095980014,11609666,0,24670,0.600000024
South Asia,2.69E+12,1744161298,0,4771577,3.898770718
Saudi Arabia,6.46E+11,31540372,2,2149690,5.599999905
Sudan,97156119150,40234882,0,2376000,14.80000019
Senegal,13609989582,15129273,0,192530,10
Singapore,2.93E+11,5535002,0,709,3
Solomon Islands,1129164719,583591,0,27990,3.900000095
Sierra Leone,4214779785,6453184,0,72180,3.299999952
El Salvador,25850200000,6126583,0,20720,6.199999809
San Marino,,31781,0,60,
Somalia,5925000000,10787104,0,627340,6.900000095
Serbia and Kosovo: S/RES/,37160332465,7098247,0,87460,22.20000076
Sub-Saharan Africa (excluding high income),1.59E+12,1000888081,0,23617901,7.970089909
South Sudan,9015221096,12339812,0,,
Sub-Saharan Africa,1.59E+12,1000980981,0,23618361,7.970089909
Small states,4.43E+11,38050062,0,2499759,10.71509123
Sao Tome and Principe,317696178.7,190344,0,960,
Suriname,5150291217,542975,0,156000,5.599999905
Slovak Rep.,87263622047,5424050,1,48086,13.30000019
Slovenia,42774769768,2063768,1,20140,9.5
Sweden,4.96E+11,9798871,1,407310,8
Swaziland,4118488059,1286970,0,17200,22.29999924
Sint Maarten (Dutch part),,38817,0,34,
Seychelles,1437722206,92900,0,460,
Syrian Arab Rep.,40405006007,18502413,2,183630,10.80000019
Turks and Caicos Islands,,34339,0,950,
Chad,10888798114,14037472,0,1259200,7
East Asia & Pacific (IDA & IBRD countries),1.32E+13,2009929013,0,15793351,4.590353693
Europe & Central Asia (IDA & IBRD countries),3.42E+12,453562136,0,22984216,7.829583784
Togo,4087903913,7304578,0,54390,6.900000095
Thailand,3.95E+11,67959359,0,510890,0.899999976
Tajikistan,7853450374,8481855,0,138786,10.89999962
Turkmenistan,35854571429,5373502,0,469930,10.5
Latin America & the Caribbean (IDA & IBRD countries),5.11E+12,616862604,0,19913632,6.595051101
Middle East & North Africa (IDA & IBRD countries),,358138798,0,8635261,12.76012593
Timor-Leste,1441718600,1245015,0,14870,4.699999809
Tonga,435142409,106170,0,720,
South Asia (IDA & IBRD),2.69E+12,1744161298,0,4771577,3.898770718
Sub-Saharan Africa (IDA & IBRD countries),1.59E+12,1000980981,0,23618361,7.970089909
Trinidad and Tobago,23559287484,1360088,0,5130,4
Tunisia,43015089723,11107800,0,155360,13.30000019
Turkey,7.18E+11,78665830,2,769630,9.199999809
Tuvalu,32673277.74,9916,0,30,
United Rep. of Tanzania,45628247290,53470420,0,885800,3.099999905
Uganda,27529249701,39032383,0,200520,3.799999952
Ukraine,90615023324,45198200,0,579290,7.699999809
Upper middle income,2.05E+13,2593742810,0,59524885,5.896019567
Uruguay,53442697569,3431555,0,175020,7
United States of America,1.80E+13,321418820,1,9147420,6.199999809
Uzbekistan,66732736498,31299500,0,425400,10.60000038
St. Vincent and the Grenadines,737683555.6,109462,0,390,
Venezuela (Bolivarian Rep. of),5.10E+11,31108083,0,882050,8.600000381
British Virgin Islands,,30117,0,150,
Virgin Islands (U.S.),,103574,0,350,
Vietnam,1.94E+11,91703800,0,310070,2.299999952
Vanuatu,742432131,264652,0,12190,
West Bank and Gaza,12677399995,4422143,0,6020,26.20000076
World,7.42E+13,7346633037,0,129733172.7,5.932298644
Samoa,761037916.4,193228,0,2830,
Yemen,37733919936,26832215,2,527970,17.39999962
South Africa,3.15E+11,54956920,0,1213090,25.10000038
Dem. Rep. of the Congo,35237742278,77266814,0,2267050,8
Zambia,21154394546,16211767,0,743390,13.30000019
Zimbabwe,14419185900,15602751,0,386850,5.400000095
